"When the sky becomes overcast and paints the world gray, does it make you feel",空が曇って世界が灰色に塗られた時,At peace,穏やかな気持ち,Longing for the sun,太陽が待ち遠しい
"There are a set of stairs in front of you, they are",目の前の階段は,Ascending,上り,Descending,降り
"Your christmas present is shaking, out pops a",クリスマスプレゼントが揺れている、飛び出したのは？,Dog,犬,Cat,猫
,,sunlight,日の光,moonlight,月の灯
"When you see a cool person, you",かっこいい人を見かけたら,hope they talk to you first,話しかけてほしい,approach them,アプローチしに行く
Sauce on the side or on top?,ソースは,Side,添えて,Top,かけて
The wind blowing is {　　} for my hair,風が吹いて髪型を,terrible,めちゃくちゃ,doing wonders,いい感じ
"You're about to fall asleep, better make sure that the tv",眠たくなってきた時、テレビは,is turned off,消しておきたい,has background noise,BGMとしてつけておきたい
Slow and steady,ゆっくり着実にすれば,wins the race,レースに勝つ,gets second place,2位になる
Do we miss Dani,Daniが恋しい？,Always,いつでも,Heck yeah,もちろん！
