do you hear the rain?,雨の音が聞こえる？,yes,はい,no,いいえ
how do you like your tea?,お茶を飲むのは？,in the morning,朝に,at night,夜
small house?,小さな家は,warm,暖かい,windows open,窓はあけたまま
picking a bouquet?,ブーケを選ぶなら？,poppies,ポピー（ヒナゲシ・コクリコ）,lilac,ライラック（ハシドイ・リラ）
should we climb this tree?,木に登る？,the sap is kind of sticky,樹液がねばねばしてるけど,let's sit in the shade,木陰に座ろう
will you see that movie?,その映画見る？,yes,はい,no,いいえ
do you remember being a kid?,こどもってどんな感じか覚えてる？,yes,はい,no,いいえ
what if you were really really tall?,もしとっても背が高いとしたら？,twenty feet,6mくらい,one hundred feet,30mくらい
what is that?,あれは何？,a comet,彗星,a satellite,衛星
which one makes you feel more loved?,どっちがより愛されてると感じる？,a big hug,強い抱擁,a soft pat,優しくなでる
