Have you shoplifted before?,万引きをしたことはありますか？,yes,はい,no,いいえ
Have you ever stolen something from others?,人の物を盗ったことはありますか？,yes,はい,no,いいえ
which group you choose?,どっち？,fat bully boys,ジャイアン派,fat goofy boys,ブタゴリラ派
Which would you marry?,結婚するなら,ordinary girl,しずかちゃん,psychic girl,エスパー魔美
Which do you like?,どっちが好み？,a girl crazy about cafe,カフェ女子,a girl crazy about bouldering,ボルダリング女子
Which do you like?,どっちが好み？,a girl crazy about cafe,カフェ女子,a girl crazy about rock music festival,ロックフェス女子
Which do you like?,どっちが好み？,a girl crazy about rock music festival,ロックフェス女子,a girl loves rock music,ロック女子
Which is reliable house appliance maker?,信頼している家電メーカーは？,Sony,ソニー,Panasonic,パナソニック
What club will you join?,どちらを選びますか？,football,サッカー部,baseball,野球部
Which tool do you like?,工具で好きなものは次のうちどれ？,screwdriver,ドライバー,pliers,ペンチ
