If you woke up in after the midnight,夜中にお腹が空いて目が覚めた,will eat something,夜食を食べちゃう,will drink the water,水飲んで寝る
When you eat chicken ramen,チキンラーメンがありました,boil the hot water,お湯沸かして食べる,biting first,そのままかじる
Which do you like?,阪急と京阪どっちが好き？,Hankyu,阪急,Keihan,京阪
Do you want to steal a motorbike?,盗んだバイクで,yes,走り出す,no,どろぼう・ダメ・ゼッタイ
The Same,あさぼらけ,,ありあけのつきと みるまでに よしののさとに ふれるしらゆき,,うじのかわぎり たえだえに あらわれわたる せぜのあじろぎ
Which,どっち？,Rum and Coke,ラムコーク派,Cuba Libre,キューバリブレ派
Which side will stop on an escalator,エスカレーターで立ち止まるとき,right,右,left,左
1+2×3+4=,1+2×3+4=,13,13,21,21
Big old clock is {　　} years old,大きなのっぽの古時計,90,享年90,100,享年100
This is the nozomi super express bound for,新幹線のぞみ,hakata,博多行,tokyo,東京行
