Which do you want to know?,どちらを知りたい？,favorite things,好きなこと,dislikable things,嫌いなこと
Water,お水,I love it,大好き,whatever..,別に
Table,テーブル,I love it,大好き,whatever..,別に
Do you want to repeat it?,繰り返したい？,yes,はい,no,いいえ
I am special.,私って特別,I may be so.,そうかも,It can't be,絶対違う
Is it true?,それってほんと？,No I don't want it to be true,いやです,No,いいえ
Do you want rebirth as an animal?,動物に生まれ変わりたい？,No I don't,いやです,?,？
You and I are,私とあなた,the same,一緒,different,別々
Keep,このまま,going,前進,sleeping,眠りたい
Lost interests in it?,飽きた？,yes,うん,no,ううん
