1+1=,1+1=,1+1 (blue),1+1 (あお),1 and 1(pink),1と1(ピンク)
2-1=,2-1=,that,じゃん,that all,ぜんぶじゃん
1-1=,1-1=,line,せん,stick,ぼう
2x2=,2x2=,the same,おんなじ,the me,おんじ
4÷2=,4÷2=,square,しかく,circle,まる
1÷2=,1÷2=,B friend,Bマブ,b alone,bハブ
2/5+3/5=,2/5+3/5=,that,じゃん,that all,ぜんぶじゃん
3/4+6/4=,3/4+6/4=,human,じん,two of,ふたりじゅー
1=,1=,red,あかい,blue,あおい
How do you teach children who don't know numbers a conception of numbers?,数を知らないこどもに数の概念を伝えるには？,they can't do their homework,宿題できないんだよ,they don't even understand it,それもわからないんだよ
